MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",57.720712,186.997000,55.559715,40.202784,1.505907,0.570597,2.160997,-nan,0.000000,0.000000,0.192516,0.000000,2.396830,69.037992,54.093381,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.333759,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.334797,-nan,0.000000,-nan,0.000000,-nan,0.000000,26.794097,20.619047,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.471665,98.936836,12.826409,56.031380,22.112119,12.332818,5.010241,0.275940,55.559715,30.512789,2.338540,7.351455,21,25
"N002-M01-T02",36.827927,200.090000,32.058574,33.691339,26.606527,2.874207,4.769354,-nan,0.000000,0.000000,0.446799,0.000000,1.207457,50.661427,20.476785,-nan,0.000000,0.000000,0.603229,-nan,0.000000,-nan,0.000000,50.231255,32.633315,-nan,0.000000,-nan,0.000000,0.000000,1.050027,-nan,0.000000,0.000000,1.793193,-nan,0.000000,0.000000,0.603229,-nan,0.000000,32.120796,5.825379,-nan,0.000000,-nan,0.000000,0.000000,0.295867,-nan,0.000000,12.477445,27.421160,32.058574,15.100205,12.859713,4.004198,1.727223,32.058574,12.549353,9.064421,12.077565,17,18
"N003-M01-T03",56.207837,190.630000,51.960867,42.363217,1.275770,0.153176,4.246971,-nan,0.000000,0.000000,1.530189,0.000000,8.750984,82.807807,34.054976,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,4.476144,6.398783,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.093427,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.224472,40.316844,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.454650,57.699208,12.724125,11.950900,11.008760,0.941090,51.960867,16.498452,13.095001,12.769763,36,22
"N004-M01-T04",60.283613,189.836000,57.875219,36.110116,3.202238,0.404033,2.408395,-nan,0.000000,0.000000,1.100950,0.000000,1.468109,17.485435,7.323690,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.947539,19.479972,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,8.730615,1.834215,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,5.318801,-nan,0.000000,0.000000,0.172254,0.000000,0.192271,-nan,0.000000,71.642234,60.297309,59.203207,17.464022,9.124191,7.645547,0.548368,57.875219,14.762743,3.116901,18.230473,23,22
"N005-M01-T05",67.511288,201.984000,65.163577,30.937599,1.102563,0.448550,2.347711,-nan,0.000000,-nan,0.000000,0.000000,0.213878,85.501759,46.291290,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.747663,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.463349,47.852800,-nan,0.000000,-nan,0.000000,0.000000,1.098107,-nan,0.000000,-nan,0.000000,65.163577,18.328679,9.162112,3.437896,0.008912,65.163577,16.435955,6.892625,7.609019,12,14
"N006-M01-T06",7.915394,203.578000,3.863875,84.689407,7.193803,0.201397,4.051518,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.796954,0.193538,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.840695,89.747419,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,51.226734,5.806128,3.863875,67.092711,6.336638,11.143640,0.116417,3.863875,66.730688,2.645669,15.313050,6,14
"N007-M01-T07",36.664052,269.021000,33.962776,62.644180,0.634523,0.057245,2.701276,-nan,0.000000,-nan,0.000000,0.000000,2.925794,79.918051,8.346189,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.733772,37.186499,13.457685,-nan,0.000000,0.000000,0.280647,0.000000,1.462711,-nan,0.000000,0.000000,6.948528,-nan,0.000000,0.000000,5.114471,-nan,0.000000,4.824569,22.682616,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.057934,35.289067,33.962776,31.312425,25.935893,3.856205,1.539657,33.962776,49.310649,1.295810,12.037722,30,24
"N008-M01-T08",63.412032,178.996000,60.657780,36.183490,0.067599,0.336879,2.754251,-nan,0.000000,0.000000,2.389998,0.000000,5.026369,95.691550,44.476413,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,19.315515,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.776349,20.158551,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,5.542023,63.960647,25.889964,4.431384,2.559275,0.000000,60.657780,28.843103,1.431876,5.908512,17,10
"N009-M01-T09",79.750539,264.170000,73.636295,20.191922,0.057539,0.000000,6.114245,-nan,0.000000,-nan,0.000000,0.000000,0.325169,95.561593,42.499148,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.554037,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.287807,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.435685,43.466707,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.444789,46.492734,3.308097,73.636295,14.567135,3.174850,2.426846,0.023091,73.636295,13.404247,2.481735,4.305939,19,19
"N010-M01-T10",73.173736,211.867000,67.885985,23.685614,1.001572,2.139078,5.287751,-nan,0.000000,0.000000,0.717903,0.000000,1.824730,96.357960,53.069614,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,12.354614,7.304583,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.950752,-nan,0.000000,26.968404,15.819830,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.430704,11.885759,67.885985,16.747299,3.997791,2.884829,0.055695,67.885985,16.602869,0.919445,6.163301,13,9
