Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"N001-M01-T01",209.213000,134,129,0.833729,0.864496,0.833729,0.897621
"N002-M01-T02",222.707000,123,150,0.764336,0.800419,0.840077,0.764336
"N003-M01-T03",195.360000,159,145,0.808502,0.816823,0.825317,0.808502
"N004-M01-T04",242.507000,114,180,0.723488,0.804205,0.905194,0.723488
"N005-M01-T05",228.107000,125,142,0.805596,0.836872,0.870675,0.805596
"N006-M01-T06",206.573000,47,102,0.628509,0.745272,0.915318,0.628509
"N007-M01-T07",298.680000,142,186,0.824337,0.882273,0.948969,0.824337
"N008-M01-T08",192.187000,99,94,0.877692,0.905392,0.877692,0.934897
"N009-M01-T09",277.040000,111,138,0.814731,0.863702,0.918936,0.814731
"N010-M01-T10",215.693000,71,74,0.921291,0.931093,0.941106,0.921291
"N011-M01-T11",267.920000,105,112,0.730670,0.787784,0.730670,0.854583
"N012-M01-T12",204.867000,104,134,0.823749,0.865922,0.912646,0.823749
"N013-M01-T13",219.093000,151,147,0.928012,0.932045,0.928012,0.936114
"N014-M01-T14",234.947000,154,164,0.903953,0.911679,0.919539,0.903953
"N015-M01-T15",162.893000,126,127,0.877889,0.879449,0.881014,0.877889
"N016-M01-T16",262.147000,180,194,0.800135,0.815695,0.831873,0.800135
"N017-M02-T01",241.440000,125,134,0.873422,0.877616,0.881851,0.873422
"N018-M02-T02",254.107000,138,110,0.724144,0.813307,0.724144,0.927511
"N019-M02-T03",289.040000,202,207,0.866057,0.867668,0.869285,0.866057
"N020-M02-T04",250.147000,156,91,0.509396,0.652620,0.509396,0.907882
"N021-M02-T05",268.960000,152,164,0.896245,0.905277,0.914493,0.896245
"N022-M02-T06",209.520000,126,125,0.896840,0.901723,0.896840,0.906658
"N023-M02-T07",201.187000,73,113,0.723595,0.758850,0.797716,0.723595
"N024-M02-T08",240.253000,112,176,0.684824,0.766506,0.870312,0.684824
