MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",87.235805,234.666644,85.147201,12.014313,0.111387,0.638495,2.088604,-nan,0.000000,0.000000,4.719437,-nan,0.000000,92.573071,86.669275,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.525384,5.884190,89.362599,2.985841,2.824589,1.988486,85.147201,6.942671,4.094815,0.976827,9,9
"1997-Life Thru a Lens/02-Life Thru A Lens",74.482788,177.604423,73.094125,23.583147,1.934064,0.000000,1.388663,-nan,0.000000,0.000000,2.395385,-nan,0.000000,89.906824,78.393214,-nan,0.000000,-nan,0.000000,-nan,0.000000,14.662593,17.822738,73.094125,19.089284,3.257564,1.236300,73.094125,2.017968,4.135596,17.429584,11,11
"1997-Life Thru a Lens/03-Ego A Go Go",57.980468,214.959977,54.475726,37.182192,2.888996,1.948344,3.504741,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.277502,88.748018,-nan,0.000000,-nan,0.000000,-nan,0.000000,47.519347,5.798897,54.475726,7.047007,13.391303,16.743882,54.475726,7.047007,24.529222,5.605963,8,9
"1997-Life Thru a Lens/04-Angels",89.072036,264.999977,88.339541,10.753277,0.055421,0.119266,0.732495,-nan,0.000000,-nan,0.000000,0.000000,4.859300,95.751875,71.400511,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.258995,22.888428,89.574594,3.853065,4.899080,0.766080,88.339541,1.235053,2.231869,7.286356,8,10
"1997-Life Thru a Lens/05-South Of The Border",63.920651,233.373311,62.799511,26.547466,9.531883,0.000000,1.121139,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.496154,80.856700,-nan,0.000000,-nan,0.000000,-nan,0.000000,14.229032,18.022160,62.799511,17.877897,6.127912,2.541657,62.799511,16.335582,5.648337,4.563548,8,12
"1997-Life Thru a Lens/06-Old Before I Die",70.210014,221.530951,70.210014,27.104172,2.612115,0.073699,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.027232,55.152727,-nan,0.000000,-nan,0.000000,-nan,0.000000,44.682635,44.773574,70.210014,12.725438,13.190142,1.188593,70.210014,7.443385,1.304076,18.356711,14,12
"1997-Life Thru a Lens/07-One Of God's Better People",5.198745,201.779183,4.752399,0.005278,94.795977,0.000000,0.446347,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,44.883375,-nan,0.000000,-nan,0.000000,0.000000,1.996816,9.022377,52.673462,4.752399,0.000000,0.005278,0.000000,4.752399,0.000000,0.005278,0.000000,2,2
"1997-Life Thru a Lens/08-Let Me Entertain You",63.134685,261.999977,62.157585,23.915390,10.546557,2.403369,0.977099,-nan,0.000000,0.000000,10.294924,0.000000,2.198318,79.494878,73.909726,-nan,0.000000,-nan,0.000000,-nan,0.000000,33.310009,10.216564,62.741307,11.408945,10.432994,1.489729,62.157585,10.875713,2.728893,10.310783,7,9
"1997-Life Thru a Lens/09-Killing Me",42.009577,227.067097,40.857071,23.334475,34.655947,0.000000,1.152506,-nan,0.000000,0.000000,5.249439,0.000000,3.973612,59.869190,37.107496,-nan,0.000000,0.000000,6.675472,0.000000,6.765550,47.704857,39.075926,42.562094,8.546754,12.816835,0.265863,40.857071,6.197070,0.044815,17.092590,12,7
"1997-Life Thru a Lens/10-Clean",77.656174,224.099635,61.137600,13.849247,6.644815,1.849764,16.518574,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.585815,79.828882,-nan,0.000000,-nan,0.000000,0.000000,1.802780,-nan,0.000000,61.137600,2.940832,9.355295,1.553120,61.137600,0.640634,10.720424,2.488189,8,10
