MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",94.178476,234.666644,92.089872,5.071642,0.111387,0.638495,2.088604,94.671662,97.272901,97.161514,92.089872,0.000000,5.071642,0.000000,8,8
"1997-Life Thru a Lens/02-Life Thru A Lens",73.213803,187.533311,71.898662,24.954531,1.831666,0.000000,1.315141,72.856832,98.684859,96.853193,71.898662,0.000000,24.954531,0.000000,10,9
"1997-Life Thru a Lens/03-Ego A Go Go",65.027475,214.959977,61.522734,30.135185,2.888996,1.948344,3.504741,65.071117,94.546915,91.657919,61.522734,0.000000,30.135185,0.000000,6,6
"1997-Life Thru a Lens/04-Angels",90.307089,264.999977,89.574594,9.518225,0.055421,0.119266,0.732495,90.344109,99.148240,99.092818,89.574594,0.000000,9.518225,-0.000000,6,7
"1997-Life Thru a Lens/05-South Of The Border",80.256232,233.373311,79.135093,10.211885,9.531883,0.000000,1.121139,80.032367,98.878861,89.346978,79.135093,0.000000,10.211885,0.000000,7,7
"1997-Life Thru a Lens/06-Old Before I Die",78.799426,233.626644,78.799426,18.653815,2.476877,0.069883,0.000000,78.854532,99.930117,97.453240,78.799426,0.000000,18.653815,0.000000,9,9
"1997-Life Thru a Lens/07-One Of God's Better People",4.907979,213.733311,4.486596,0.004982,95.087039,0.000000,0.421383,4.505582,99.578617,4.491579,4.486596,0.000000,0.004982,0.000000,2,2
"1997-Life Thru a Lens/08-Let Me Entertain You",74.010398,261.999977,73.033298,13.039677,10.546557,2.403369,0.977099,75.588545,96.619532,86.072975,73.033298,0.000000,13.039677,0.000000,3,5
"1997-Life Thru a Lens/09-Killing Me",46.329619,236.266644,45.221988,19.085016,34.585365,0.000000,1.107631,45.728491,98.892369,64.307004,45.221988,0.000000,19.085016,-0.000000,7,5
"1997-Life Thru a Lens/10-Clean",78.155077,235.439977,62.432147,12.572399,7.511857,1.760667,15.722930,75.660287,82.516402,75.004546,62.432147,0.000000,12.572399,-0.000000,6,8
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",50.238435,199.999977,46.535612,1.976393,47.785171,0.000000,3.702823,48.325002,96.297177,48.512006,46.535612,0.000000,1.976393,0.000000,6,7
"1998-I've Been Expecting You/01-Strong",93.982407,279.313356,92.655403,4.103186,1.887077,0.027330,1.327004,93.927495,98.645666,96.758590,92.655403,0.000000,4.103186,-0.000000,7,7
"1998-I've Been Expecting You/02-No Regrets",88.395234,310.599977,87.959955,8.184330,3.296845,0.123591,0.435279,88.454299,99.441130,96.144285,87.959955,0.000000,8.184330,0.000000,6,9
"1998-I've Been Expecting You/03-Millennium",78.476098,247.573311,75.225332,17.062483,4.461420,0.000000,3.250765,77.752896,96.749235,92.287815,75.225332,0.000000,17.062483,-0.000000,2,5
"1998-I've Been Expecting You/04-Phoenix From The Flames",67.369437,242.444308,67.369437,31.146342,1.372686,0.111534,0.000000,67.444661,99.888466,98.515780,67.369437,0.000000,31.146342,0.000000,8,8
"1998-I've Been Expecting You/05-Win Some Lose Some",91.184621,258.733311,88.918137,7.700269,1.115110,0.000000,2.266484,90.980189,97.733516,96.618406,88.918137,0.000000,7.700269,0.000000,6,7
"1998-I've Been Expecting You/06-Grace",53.903006,193.632744,49.615616,2.144225,43.952769,0.000000,4.287391,51.838118,95.712609,51.759841,49.615616,0.000000,2.144225,-0.000000,7,7
"1998-I've Been Expecting You/07-It's Only Us",89.284652,170.733311,88.075794,8.111645,2.603703,0.000000,1.208858,89.153534,98.791142,96.187439,88.075794,0.000000,8.111645,0.000000,8,7
"1998-I've Been Expecting You/08-Heaven From Here",78.269369,185.495714,78.188284,16.485601,5.245030,0.000000,0.081084,78.251734,99.918916,94.673886,78.188284,0.000000,16.485601,-0.000000,7,9
"1998-I've Been Expecting You/09-Karma Killer",59.341681,268.266644,50.775484,32.991728,4.213120,3.453471,8.566197,57.712312,87.980332,83.767212,50.775484,0.000000,32.991728,-0.000000,7,8
"1998-I've Been Expecting You/10-She's The One",60.624010,258.035465,60.111759,22.382328,16.993662,0.000000,0.512252,60.421268,99.487748,82.494087,60.111759,0.000000,22.382328,0.000000,6,9
"1998-I've Been Expecting You/11-Man Machine",71.931366,214.999977,71.931366,24.459432,3.434408,0.174793,0.000000,72.057317,99.825207,96.390799,71.931366,0.000000,24.459432,-0.000000,7,7
