MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",91.451203,234.666644,89.362599,7.798915,0.111387,0.638495,2.088604,92.405074,91.388711,-nan,0.000000,-nan,0.000000,83.525384,5.884190,-nan,0.000000,89.362599,2.985841,2.824589,1.988486,0.000000,89.362599,2.727273,4.598855,0.472788,8,9
"1997-Life Thru a Lens/02-Life Thru A Lens",72.928934,177.604423,71.540271,25.137002,1.934064,0.000000,1.388663,87.012486,79.215062,0.000000,1.573537,-nan,0.000000,14.662593,17.822738,-nan,0.000000,71.540271,20.643138,3.257564,1.216617,0.019683,71.540271,3.571822,4.115913,17.449266,11,11
"1997-Life Thru a Lens/03-Ego A Go Go",54.093496,214.959977,50.588755,41.069164,2.888996,1.948344,3.504741,57.002687,88.748018,-nan,0.000000,-nan,0.000000,0.000000,4.909642,0.000000,0.889255,50.588755,7.134871,15.236377,16.893058,1.804858,50.588755,10.933979,22.331270,7.803915,8,16
"1997-Life Thru a Lens/04-Angels",90.307089,264.999977,89.574594,9.518225,0.055421,0.119266,0.732495,91.270068,76.259811,-nan,0.000000,-nan,0.000000,87.258995,22.888428,-nan,0.000000,89.574594,3.853065,4.899080,0.766080,0.000000,89.574594,0.000000,5.009347,4.508877,7,10
"1997-Life Thru a Lens/05-South Of The Border",63.714725,233.373311,62.593586,26.753392,9.531883,0.000000,1.121139,74.496154,80.856700,-nan,0.000000,-nan,0.000000,13.086406,18.022160,-nan,0.000000,62.593586,17.919280,6.224142,2.609970,0.000000,62.593586,16.541508,5.648337,4.563548,8,14
"1997-Life Thru a Lens/06-Old Before I Die",70.210014,221.530951,70.210014,27.104172,2.612115,0.073699,0.000000,91.027232,55.152727,-nan,0.000000,-nan,0.000000,44.682635,44.773574,-nan,0.000000,70.210014,12.725438,13.190142,1.188593,0.000000,70.210014,7.443385,1.304076,18.356711,14,12
"1997-Life Thru a Lens/07-One Of God's Better People",5.198745,201.779183,4.752399,0.005278,94.795977,0.000000,0.446347,0.000000,42.929408,0.000000,1.953967,-nan,0.000000,8.753380,54.292157,0.000000,0.378121,4.752399,0.000000,0.005278,0.000000,0.000000,4.752399,0.000000,0.005278,0.000000,2,2
"1997-Life Thru a Lens/08-Let Me Entertain You",62.363204,261.999977,61.386105,24.686870,10.546557,2.403369,0.977099,68.676077,86.402968,-nan,0.000000,-nan,0.000000,-nan,0.000000,20.045252,10.216564,61.386105,2.092206,19.069923,3.524742,0.000000,61.386105,11.647194,8.751310,4.288367,4,10
"1997-Life Thru a Lens/09-Killing Me",33.411413,220.898367,32.226722,32.548864,34.039723,0.000000,1.184691,47.633570,47.624357,-nan,0.000000,-nan,0.000000,2.722520,42.567322,97.205432,8.623630,32.226722,17.394634,12.018059,3.118667,0.017504,32.226722,14.932886,3.610926,14.005052,10,10
"1997-Life Thru a Lens/10-Clean",77.656174,224.099635,61.137600,13.849247,6.644815,1.849764,16.518574,76.585815,79.828882,-nan,0.000000,-nan,0.000000,0.000000,1.802780,-nan,0.000000,61.137600,1.633477,10.662650,1.534431,0.018689,61.137600,0.640634,10.720424,2.488189,8,10
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",55.445897,127.814763,49.651852,14.474998,30.079104,0.000000,5.794045,53.145466,59.316709,54.843970,17.492649,-nan,0.000000,0.000000,8.779483,99.036022,8.617114,49.651852,12.218930,1.956488,0.293988,0.005592,49.651852,11.664454,1.521040,1.289504,6,11
