MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",87.235805,234.666644,85.147201,12.014313,0.111387,0.638495,2.088604,-nan,0.000000,0.000000,4.719437,-nan,0.000000,92.573071,86.669275,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.525384,5.884190,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.362599,2.985841,2.824589,1.988486,0.000000,85.147201,6.942671,4.094815,0.976827,9,9
"1997-Life Thru a Lens/02-Life Thru A Lens",72.928934,177.604423,71.540271,25.137002,1.934064,0.000000,1.388663,-nan,0.000000,0.000000,2.395385,-nan,0.000000,89.725702,76.819678,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.573537,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,14.662593,17.822738,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.540271,20.643138,3.257564,1.216617,0.019683,71.540271,3.571822,4.115913,17.449266,12,11
"1997-Life Thru a Lens/03-Ego A Go Go",54.093496,214.959977,50.588755,41.069164,2.888996,1.948344,3.504741,-nan,0.000000,-nan,0.000000,-nan,0.000000,57.002687,88.748018,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.909642,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.889255,50.588755,7.134871,15.236377,16.893058,1.804858,50.588755,10.933979,22.331270,7.803915,8,16
"1997-Life Thru a Lens/04-Angels",89.072036,264.999977,88.339541,10.753277,0.055421,0.119266,0.732495,-nan,0.000000,-nan,0.000000,0.000000,4.859300,95.751875,71.400511,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.258995,22.888428,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.574594,3.853065,4.899080,0.766080,0.000000,88.339541,1.235053,2.231869,7.286356,8,10
"1997-Life Thru a Lens/05-South Of The Border",63.714725,233.373311,62.593586,26.753392,9.531883,0.000000,1.121139,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.496154,80.856700,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,13.086406,18.022160,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.593586,17.919280,6.224142,2.609970,0.000000,62.593586,16.541508,5.648337,4.563548,8,14
"1997-Life Thru a Lens/06-Old Before I Die",70.210014,221.530951,70.210014,27.104172,2.612115,0.073699,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.027232,55.152727,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,44.682635,44.773574,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.210014,12.725438,13.190142,1.188593,0.000000,70.210014,7.443385,1.304076,18.356711,14,12
"1997-Life Thru a Lens/07-One Of God's Better People",5.198745,201.779183,4.752399,0.005278,94.795977,0.000000,0.446347,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,42.929408,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.953967,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.996816,9.087614,52.295341,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.378121,4.752399,0.000000,0.005278,0.000000,0.000000,4.752399,0.000000,0.005278,0.000000,2,2
"1997-Life Thru a Lens/08-Let Me Entertain You",61.779482,261.999977,60.802383,25.270592,10.546557,2.403369,0.977099,-nan,0.000000,0.000000,10.294924,0.000000,2.198318,79.494878,73.909726,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.734331,21.597612,9.482234,61.386105,2.092206,19.069923,3.524742,0.000000,60.802383,12.230916,2.728893,10.310783,8,10
"1997-Life Thru a Lens/09-Killing Me",31.658776,220.898367,30.474085,34.301501,34.039723,0.000000,1.184691,-nan,0.000000,0.000000,5.396033,0.000000,4.084578,54.878052,38.143746,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,6.861889,0.000000,6.954482,4.030837,28.750952,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.205432,8.623630,32.226722,17.394634,12.018059,3.118667,0.017504,30.474085,16.685523,0.028562,17.587416,13,10
"1997-Life Thru a Lens/10-Clean",77.656174,224.099635,61.137600,13.849247,6.644815,1.849764,16.518574,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.585815,79.828882,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.802780,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,61.137600,1.633477,10.662650,1.534431,0.018689,61.137600,0.640634,10.720424,2.488189,8,10
