Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"1997-Life Thru a Lens/01-Lazy Days",234.666644,90,95,0.919545,0.930921,0.942581,0.919545
"1997-Life Thru a Lens/02-Life Thru A Lens",187.533311,80,74,0.781829,0.841772,0.781829,0.911670
"1997-Life Thru a Lens/03-Ego A Go Go",214.959977,116,171,0.740726,0.809768,0.893003,0.740726
"1997-Life Thru a Lens/04-Angels",264.999977,77,83,0.951702,0.962101,0.972729,0.951702
"1997-Life Thru a Lens/05-South Of The Border",233.373311,119,143,0.842576,0.861160,0.880582,0.842576
"1997-Life Thru a Lens/06-Old Before I Die",233.626644,117,90,0.713621,0.816501,0.713621,0.954043
"1997-Life Thru a Lens/07-One Of God's Better People",213.733311,104,8,0.137251,0.240934,0.137251,0.985108
"1997-Life Thru a Lens/08-Let Me Entertain You",261.999977,101,108,0.742668,0.789297,0.742668,0.842173
"1997-Life Thru a Lens/09-Killing Me",236.266644,108,79,0.598590,0.710836,0.598590,0.874893
"1997-Life Thru a Lens/10-Clean",235.439977,105,119,0.860942,0.863330,0.860942,0.865731
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",199.999977,67,71,0.732112,0.795584,0.732112,0.871105
"1998-I've Been Expecting You/01-Strong",279.313356,103,134,0.900388,0.934791,0.971927,0.900388
"1998-I've Been Expecting You/02-No Regrets",310.599977,75,117,0.794359,0.871627,0.965546,0.794359
"1998-I've Been Expecting You/03-Millennium",247.573311,93,162,0.721642,0.800007,0.897466,0.721642
"1998-I've Been Expecting You/04-Phoenix From The Flames",242.444308,130,79,0.605187,0.739120,0.605187,0.949181
"1998-I've Been Expecting You/05-Win Some Lose Some",258.733311,86,88,0.940864,0.941162,0.941460,0.940864
"1998-I've Been Expecting You/06-Grace",193.632744,68,64,0.714105,0.793523,0.714105,0.892816
"1998-I've Been Expecting You/07-It's Only Us",170.733311,67,71,0.839555,0.867791,0.839555,0.897992
"1998-I've Been Expecting You/08-Heaven From Here",185.495714,112,101,0.853553,0.891433,0.853553,0.932833
"1998-I've Been Expecting You/09-Karma Killer",268.266644,120,93,0.737461,0.807537,0.737461,0.892331
"1998-I've Been Expecting You/10-She's The One",258.035465,88,144,0.748382,0.810497,0.883856,0.748382
"1998-I've Been Expecting You/11-Man Machine",214.999977,203,144,0.661677,0.751326,0.661677,0.869075
"1998-I've Been Expecting You/12-1-These Dreams",309.847052,187,178,0.863406,0.869350,0.863406,0.875376
"1998-I've Been Expecting You/12-2-Stand Your Ground",211.109161,59,62,0.865440,0.867443,0.865440,0.869456
"1998-I've Been Expecting You/12-3-Stalker's Day Off (I've Been Hanging Around)",229.435442,110,120,0.878154,0.885671,0.893318,0.878154
"2000-Sing When You 're Winning/01-Let Love Be Your Energy",299.034989,114,145,0.866553,0.895583,0.926625,0.866553
"2000-Sing When You 're Winning/02-Better Man",202.639977,65,81,0.884857,0.900806,0.917341,0.884857
"2000-Sing When You 're Winning/03-Rock DJ",258.566689,102,92,0.616745,0.696375,0.616745,0.799615
"2000-Sing When You 're Winning/04-Supreme",258.426395,92,115,0.886892,0.917260,0.949780,0.886892
"2000-Sing When You 're Winning/05-Kids",286.706644,128,167,0.775164,0.809124,0.846197,0.775164
"2000-Sing When You 're Winning/06-If It's Hurting You",250.370227,68,95,0.815172,0.851266,0.890703,0.815172
"2000-Sing When You 're Winning/07-Singing For The Lonely",271.593878,114,121,0.756211,0.800353,0.756211,0.849969
"2000-Sing When You 're Winning/08-Love Calling Earth",245.626644,74,85,0.867339,0.881700,0.867339,0.896545
"2000-Sing When You 're Winning/09-Knutsford City Limits",285.469320,179,177,0.891804,0.902548,0.891804,0.913555
"2000-Sing When You 're Winning/10-Forever Texas",217.631111,90,99,0.825827,0.859777,0.896638,0.825827
"2000-Sing When You 're Winning/11-By All Means Necessary",285.666644,118,108,0.548456,0.659832,0.548456,0.827969
"2000-Sing When You 're Winning/12-The Road To Mandalay(cut)",237.694535,85,114,0.817164,0.852837,0.891766,0.817164
"2002-Escapology/01-How Peculiar",193.422426,94,77,0.803182,0.855515,0.803182,0.915142
"2002-Escapology/02-Feel",263.899615,118,123,0.825546,0.854618,0.825546,0.885812
"2002-Escapology/03-Something Beautiful",288.766259,122,136,0.866060,0.875057,0.866060,0.884242
"2002-Escapology/04-Monsoon",226.632676,48,72,0.878369,0.923927,0.974470,0.878369
"2002-Escapology/05-Sexed Up",261.666644,115,122,0.935067,0.947756,0.960794,0.935067
"2002-Escapology/06-Love Somebody",250.097370,112,122,0.794743,0.826853,0.794743,0.861666
"2002-Escapology/07-Revolution",344.554989,174,165,0.888836,0.895801,0.888836,0.902876
"2002-Escapology/08-Handsome Man",236.533311,139,153,0.905338,0.916062,0.927042,0.905338
"2002-Escapology/09-Come Undone",278.439977,84,83,0.982187,0.983254,0.982187,0.984324
"2002-Escapology/10-Me and My Monkey",432.734966,111,181,0.808553,0.875626,0.954834,0.808553
"2002-Escapology/11-Song 3",230.804376,154,142,0.837739,0.873415,0.837739,0.912265
"2002-Escapology/12-Hot Fudge",248.113356,145,149,0.918574,0.921900,0.925250,0.918574
"2002-Escapology/13-Cursed",241.828481,93,107,0.836246,0.875839,0.919368,0.836246
"2002-Escapology/14a-Nan's Song",231.766349,103,135,0.827579,0.869815,0.916595,0.827579
"2002-Escapology/14b-How Peculiar (Reprise)",133.765760,38,50,0.804034,0.843812,0.887731,0.804034
"2002-Escapology/14c-I Tried Love",211.009864,71,89,0.821140,0.834230,0.821140,0.847745
"2005-Intensive Care (Special Edition)/01-Ghosts",222.479977,50,53,0.960602,0.967776,0.975057,0.960602
"2005-Intensive Care (Special Edition)/02-Tripping",276.586644,107,144,0.814657,0.871303,0.936415,0.814657
"2005-Intensive Care (Special Edition)/03-Make Me Pure",273.213311,65,80,0.843939,0.905935,0.977761,0.843939
"2005-Intensive Care (Special Edition)/04-Spread Your Wings",230.933311,169,123,0.798389,0.862750,0.798389,0.938398
"2005-Intensive Care (Special Edition)/05-Advertising Space",277.493311,74,75,0.967056,0.967584,0.967056,0.968113
"2005-Intensive Care (Special Edition)/06-Please Don't Die",287.551247,164,171,0.920872,0.930501,0.940334,0.920872
"2005-Intensive Care (Special Edition)/07-Your Gay Friend",201.563560,128,125,0.865617,0.868064,0.870525,0.865617
"2005-Intensive Care (Special Edition)/08-Sin Sin Sin",249.853311,79,103,0.815213,0.863168,0.917117,0.815213
"2005-Intensive Care (Special Edition)/09-Random Acts Of Kindness",255.203696,145,124,0.783111,0.808708,0.783111,0.836035
"2005-Intensive Care (Special Edition)/10-The Trouble With Me",260.906644,115,119,0.915419,0.935789,0.957085,0.915419
"2005-Intensive Care (Special Edition)/11-A Place To Crash",274.026644,72,79,0.945411,0.963609,0.982522,0.945411
"2005-Intensive Care (Special Edition)/12-King Of Bloke And Bird",373.119977,75,132,0.640611,0.765906,0.952128,0.640611
