MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",88.608539,107.247000,88.157244,11.365353,0.026108,0.000000,0.451295,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.245716,40.482251,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.309217,59.066454,88.157244,7.043554,0.113756,4.208043,88.157244,1.199101,1.213088,8.953164,3,5
"a_ha/Hunting_High_and_Low/01-Take_On_Me",66.003070,228.000000,62.679825,29.822368,1.687281,2.487281,3.323246,-nan,0.000000,-nan,0.000000,0.000000,1.248684,88.235194,51.543860,-nan,0.000000,0.000000,10.005702,0.000000,0.614474,55.886335,30.776754,67.712281,10.884211,9.424561,4.481140,62.679825,9.363596,7.471491,12.987281,11,13
"abba/Arrival/02-Dancing_Queen",62.456087,230.000000,60.904783,37.432609,0.000000,0.111304,1.551304,-nan,0.000000,0.000000,29.204348,0.000000,5.118696,96.099737,48.335652,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.191010,15.678696,84.150435,0.618261,11.867391,1.701304,60.904783,23.722174,1.083913,12.626522,12,8
"abba/Live/03-I_Have_A_Dream",95.779234,250.310000,93.778115,2.266789,1.515321,0.438656,2.001119,-nan,0.000000,0.000000,0.339179,-nan,0.000000,96.458657,97.221046,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.117295,0.000000,1.792577,0.135033,93.778115,0.339179,1.927610,-0.000000,4,3
"abba/Live/06-Thank_You_for_The_Music",61.562375,209.412000,57.865834,33.391592,4.980135,0.065899,3.696541,-nan,0.000000,-nan,0.000000,0.000000,4.446259,78.004867,52.593930,-nan,0.000000,-nan,0.000000,-nan,0.000000,42.962088,39.197372,58.354822,20.675510,7.857238,4.369855,57.865834,16.626554,6.367352,10.397685,13,15
"abba/Live/08-Fernando",91.800309,324.000000,86.010185,3.519136,2.674074,2.006481,5.790123,-nan,0.000000,-nan,0.000000,0.000000,0.317593,94.694703,81.609568,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.955699,10.276235,86.010185,1.214198,1.786728,0.518210,86.010185,1.145679,1.818519,0.554938,8,9
"abba/Live/10-Super_Trouper",75.498859,263.000000,72.125475,17.523194,6.977947,0.000000,3.373384,-nan,0.000000,0.000000,2.612928,0.000000,3.101901,89.308292,69.888213,-nan,0.000000,-nan,0.000000,0.000000,0.782890,47.970244,20.240684,74.959696,9.222433,4.703802,0.762738,72.125475,10.344487,3.940684,3.238023,10,9
"ac_dc/Back_In_Black/01-Hells_Bells",30.195018,56.559000,29.151859,34.388868,0.000000,35.416114,1.043158,-nan,0.000000,-nan,0.000000,0.000000,12.360544,99.804114,5.415584,-nan,0.000000,-nan,0.000000,-nan,0.000000,51.889198,45.764600,29.151859,22.017716,12.022843,0.348309,29.151859,22.017716,0.010608,12.360544,4,5
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",39.140434,106.961000,38.542085,55.146268,0.000000,5.713297,0.598349,-nan,0.000000,0.000000,29.293855,-nan,0.000000,59.853071,64.394499,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,43.213882,0.030852,37.924103,12.519516,38.542085,4.702649,25.821561,24.622059,2,4
"aerosmith/Nine_Lives/02-Falling_In_Love",17.867499,72.075000,0.000000,40.865765,0.604925,40.661811,17.867499,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,41.470690,-nan,0.000000,0.000000,33.978495,5.111342,1.775928,0.000000,3.594866,0.000000,37.270898,2,7
"alanis_morissette/MTV_Unplugged/08-Ironic",71.586554,243.698000,58.951653,26.460619,1.485035,0.467792,12.634901,-nan,0.000000,0.000000,1.075922,0.000000,15.558601,81.214739,50.913836,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.971942,19.348948,72.502852,1.743551,7.500267,3.665603,58.951653,14.523303,8.180617,3.756699,9,10
"alanis_morissette/MTV_Unplugged/12-Uninvited",71.117119,92.103000,30.503892,12.965919,1.528723,14.388239,40.613226,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.804340,24.615919,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.808129,20.382615,30.503892,6.531818,6.434101,0.000000,30.503892,5.697969,4.291934,2.976016,3,5
"all_saints/All_Saints/01-Never_Ever",82.966150,387.000000,81.737726,16.311370,0.671318,0.051163,1.228424,-nan,0.000000,-nan,0.000000,0.000000,1.399483,88.849473,85.953230,-nan,0.000000,-nan,0.000000,-nan,0.000000,47.227968,11.367700,82.860465,8.620930,3.264858,3.302842,81.737726,8.549354,4.176744,3.585271,8,10
"aqua/Aquarium/05-Doctor_Jones",64.834596,189.294000,61.795936,34.551016,0.000000,0.614388,3.038659,-nan,0.000000,0.000000,9.043076,0.000000,7.505256,82.964609,66.812472,-nan,0.000000,0.000000,2.214545,-nan,0.000000,59.092692,10.771604,74.383235,6.418059,11.219056,4.326603,61.795936,15.855759,8.336767,10.358490,8,10
"backstreet_boys/Millennium/02-I_Want_It_That_Way",89.243712,208.492000,88.777027,9.217620,0.335265,1.203403,0.466685,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.552110,61.429695,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.169470,36.900217,88.777027,3.575677,4.132053,1.509890,88.777027,0.546304,4.780040,3.891276,9,11
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",93.881407,232.864000,92.940944,5.711488,0.100488,0.306617,0.940463,-nan,0.000000,0.000000,0.319929,0.000000,0.304040,93.555086,60.381596,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.565415,37.747355,92.940944,1.012608,2.061718,2.637162,92.940944,0.219871,3.216040,2.275577,12,11
"backstreet_boys/Millennium/11-No_One_Else_Comes_Close",50.460238,218.691000,48.702964,20.813842,28.416350,0.309569,1.757274,-nan,0.000000,0.000000,1.811689,0.000000,9.673923,53.202804,65.695891,-nan,0.000000,0.000000,0.493847,-nan,0.000000,67.879554,20.257807,50.719051,3.924258,6.702608,8.170890,48.702964,4.464290,4.999291,11.350261,19,15
"beach_boys/Pet_Sounds/08-God_Only_Knows",40.307040,160.761000,38.396128,49.964855,4.236724,5.491382,1.910911,-nan,0.000000,0.000000,15.921150,0.000000,26.455421,84.673632,21.194195,-nan,0.000000,0.000000,0.634482,-nan,0.000000,72.026991,28.392458,54.309192,8.581683,22.570773,2.899335,38.396128,20.719578,4.264094,24.981183,14,15
"beach_boys/Surfin_USA_Surfin_Safari/01-Surfin_Safari",70.880952,126.000000,68.677778,13.842857,15.206349,0.069841,2.203175,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.275143,97.726984,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.677778,1.726984,11.357143,0.758730,68.677778,1.726984,12.115873,-0.000000,4,5
