MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",91.835722,233.750000,91.628663,8.152299,0.011979,0.000000,0.207059,91.818782,99.792941,99.780963,91.628663,0.000000,8.152299,0.000000,5,5
"a_ha/Hunting_High_and_Low/01-Take_On_Me",75.366667,228.000000,72.043421,20.458772,1.687281,2.487281,3.323246,76.487763,94.189474,92.502193,72.043421,0.000000,20.458772,-0.000000,7,7
"abba/Arrival/02-Dancing_Queen",86.178261,230.000000,84.626957,13.710435,0.000000,0.111304,1.551304,86.057760,98.337391,98.337391,84.626957,0.000000,13.710435,0.000000,6,6
"abba/Live/03-I_Have_A_Dream",94.925095,263.000000,93.020532,2.294297,2.363118,0.417490,1.904563,95.231867,97.677947,95.314829,93.020532,0.000000,2.294297,-0.000000,3,3
"abba/Live/06-Thank_You_for_The_Music",75.875342,219.000000,72.340639,17.956164,6.105479,0.063014,3.534703,75.040380,96.402283,90.296804,72.340639,0.000000,17.956164,0.000000,8,9
"abba/Live/08-Fernando",92.945988,324.000000,87.155864,2.373457,2.674074,2.006481,5.790123,94.525656,92.203395,89.529321,87.155864,0.000000,2.373457,-0.000000,5,7
"abba/Live/10-Super_Trouper",85.843346,263.000000,82.469962,7.178707,6.977947,0.000000,3.373384,85.349115,96.626616,89.648669,82.469962,0.000000,7.178707,0.000000,6,6
"ac_dc/Back_In_Black/01-Hells_Bells",86.117949,312.000000,85.928846,7.261218,0.200641,6.420192,0.189103,92.010062,93.390705,93.190064,85.928846,0.000000,7.261218,0.000000,5,5
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",67.161925,239.000000,66.894142,28.128870,2.152301,2.556904,0.267782,68.838617,97.175314,95.023013,66.894142,0.000000,28.128870,0.000000,6,6
"aerosmith/Nine_Lives/02-Falling_In_Love",66.562439,205.000000,60.280488,17.333659,1.807805,14.296098,6.281951,75.899027,79.421951,77.614146,60.280488,0.000000,17.333659,0.000000,7,8
"alanis_morissette/MTV_Unplugged/08-Ironic",85.273518,253.000000,73.103162,11.745850,2.530040,0.450593,12.170356,83.662115,87.379051,84.849012,73.103162,0.000000,11.745850,-0.000000,7,6
"alanis_morissette/MTV_Unplugged/12-Uninvited",83.966426,277.000000,70.462455,7.791697,3.457762,4.784116,13.503971,86.232780,81.711913,78.254152,70.462455,0.000000,7.791697,-0.000000,2,5
"all_saints/All_Saints/01-Never_Ever",91.515504,387.000000,90.287080,7.762016,0.671318,0.051163,1.228424,91.457356,98.720413,98.049096,90.287080,0.000000,7.762016,-0.000000,6,6
