MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",90.664504,104.815000,90.202738,9.308782,0.026714,0.000000,0.461766,81.829494,39.101274,-nan,0.000000,-nan,0.000000,96.309217,60.436960,-nan,0.000000,90.202738,4.886705,0.116396,4.305681,0.000000,90.202738,1.226924,1.241235,6.840624,3,4
"a_ha/Hunting_High_and_Low/01-Take_On_Me",43.805263,228.000000,40.482018,52.020175,1.687281,2.487281,3.323246,86.211353,30.202193,0.000000,6.283333,0.000000,16.307018,43.588374,15.603509,29.631519,25.793421,40.482018,33.475877,10.998684,4.818421,2.727193,40.482018,31.561404,6.692544,13.766228,13,23
"abba/Arrival/02-Dancing_Queen",75.224783,230.000000,73.673478,24.663913,0.000000,0.111304,1.551304,83.449193,71.613478,0.000000,0.873478,0.000000,10.171739,92.878813,13.328261,65.242323,2.350435,73.673478,10.841304,11.562174,2.260435,0.000000,73.673478,10.953478,11.216522,2.493913,11,9
"abba/Live/03-I_Have_A_Dream",48.964884,250.310000,46.963765,49.081139,1.515321,0.438656,2.001119,94.994707,49.438297,-nan,0.000000,0.000000,48.121929,-nan,0.000000,-nan,0.000000,46.963765,47.153530,0.862930,1.064680,0.000000,46.963765,47.153530,0.963605,0.964005,3,3
"abba/Live/06-Thank_You_for_The_Music",42.530096,203.597000,38.727977,52.279749,5.122374,0.067781,3.802119,87.507005,31.550563,-nan,0.000000,0.000000,27.118769,45.836117,24.258216,0.000000,13.202552,38.727977,34.123784,9.202002,7.035467,1.918496,38.727977,35.559463,1.819771,14.900514,15,15
"abba/Live/08-Fernando",60.254012,324.000000,54.463889,35.065432,2.674074,2.006481,5.790123,97.695734,46.974074,-nan,0.000000,0.000000,34.953086,83.417931,10.276235,-nan,0.000000,54.463889,32.760494,0.954012,1.350926,0.000000,54.463889,32.691975,0.785185,1.588272,10,10
"abba/Live/10-Super_Trouper",78.333080,263.000000,74.959696,14.688973,6.977947,0.000000,3.373384,86.306303,75.603042,-nan,0.000000,-nan,0.000000,46.183896,21.023574,-nan,0.000000,74.959696,9.222433,4.703802,0.762738,0.000000,74.959696,7.510266,4.600760,2.577947,7,9
"ac_dc/Back_In_Black/01-Hells_Bells",13.309995,56.559000,12.266836,51.273891,0.000000,35.416114,1.043158,30.405809,17.776128,-nan,0.000000,-nan,0.000000,-nan,0.000000,14.993819,45.764600,12.266836,16.885023,34.040559,0.348309,0.000000,12.266836,38.902739,12.371152,0.000000,3,6
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",37.531437,106.961000,36.933088,56.755266,0.000000,5.713297,0.598349,49.253173,74.986210,-nan,0.000000,0.000000,18.702144,-nan,0.000000,-nan,0.000000,36.933088,6.311646,37.900730,12.542889,0.000000,36.933088,6.311646,38.022270,12.421350,3,4
"aerosmith/Nine_Lives/02-Falling_In_Love",17.867499,72.075000,0.000000,40.865765,0.604925,40.661811,17.867499,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,41.470690,-nan,0.000000,0.000000,33.978495,5.111342,1.775928,0.000000,0.000000,3.594866,0.221991,37.048907,2,7
