MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",90.664504,104.815000,90.202738,9.308782,0.026714,0.000000,0.461766,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.829494,39.101274,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.309217,60.436960,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.202738,4.886705,0.116396,4.305681,0.000000,90.202738,1.226924,1.241235,6.840624,3,4
"a_ha/Hunting_High_and_Low/01-Take_On_Me",41.879386,228.000000,38.556140,53.946053,1.687281,2.487281,3.323246,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.211353,30.202193,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,6.283333,-nan,0.000000,-nan,0.000000,0.000000,1.248684,-nan,0.000000,0.000000,15.058333,-nan,0.000000,0.000000,10.005702,-nan,0.000000,87.095510,5.597807,-nan,0.000000,-nan,0.000000,0.000000,0.614474,-nan,0.000000,30.354654,25.178947,40.482018,33.475877,10.998684,4.818421,2.727193,38.556140,33.487281,5.728509,14.730263,16,23
"abba/Arrival/02-Dancing_Queen",55.626087,230.000000,54.074783,44.262609,0.000000,0.111304,1.551304,-nan,0.000000,0.000000,28.949565,0.000000,1.575652,97.746103,41.088261,-nan,0.000000,-nan,0.000000,0.000000,0.406087,-nan,0.000000,0.000000,0.467391,-nan,0.000000,0.000000,0.254783,0.000000,3.136957,-nan,0.000000,0.000000,6.780000,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.878813,13.328261,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.242323,2.350435,73.673478,10.841304,11.562174,2.260435,0.000000,54.074783,30.552174,0.290000,13.420435,16,9
"abba/Live/03-I_Have_A_Dream",48.625704,250.310000,46.624586,49.420319,1.515321,0.438656,2.001119,-nan,0.000000,0.000000,0.339179,-nan,0.000000,94.960130,49.099117,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,48.121929,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.963765,47.153530,0.862930,1.064680,0.000000,46.624586,47.492709,0.963605,0.964005,4,3
"abba/Live/06-Thank_You_for_The_Music",42.027142,203.597000,38.225023,52.782703,5.122374,0.067781,3.802119,-nan,0.000000,-nan,0.000000,0.000000,2.882164,94.550096,28.668399,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.691086,-nan,0.000000,0.000000,25.427683,-nan,0.000000,-nan,0.000000,-nan,0.000000,45.836117,24.258216,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.033935,0.000000,10.168617,38.727977,34.123784,9.202002,7.035467,1.918496,38.225023,36.062417,1.819771,14.900514,19,15
"abba/Live/08-Fernando",60.254012,324.000000,54.463889,35.065432,2.674074,2.006481,5.790123,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.695734,46.974074,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.317593,0.000000,3.453704,0.000000,31.181790,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.417931,10.276235,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,54.463889,32.760494,0.954012,1.350926,0.000000,54.463889,32.691975,0.785185,1.588272,11,10
"abba/Live/10-Super_Trouper",75.498859,263.000000,72.125475,17.523194,6.977947,0.000000,3.373384,-nan,0.000000,0.000000,2.612928,0.000000,3.101901,89.308292,69.888213,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.782890,47.970244,20.240684,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.959696,9.222433,4.703802,0.762738,0.000000,72.125475,10.344487,3.940684,3.238023,10,9
"ac_dc/Back_In_Black/01-Hells_Bells",13.309995,56.559000,12.266836,51.273891,0.000000,35.416114,1.043158,-nan,0.000000,-nan,0.000000,0.000000,12.360544,99.804114,5.415584,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,14.993819,45.764600,12.266836,16.885023,34.040559,0.348309,0.000000,12.266836,38.902739,0.010608,12.360544,4,6
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",32.859640,106.961000,32.261291,61.427062,0.000000,5.713297,0.598349,-nan,0.000000,0.000000,29.293855,-nan,0.000000,70.605447,45.692355,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,13.276802,0.000000,5.425342,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,36.933088,6.311646,37.900730,12.542889,0.000000,32.261291,10.983443,13.400211,37.043408,4,4
"aerosmith/Nine_Lives/02-Falling_In_Love",17.867499,72.075000,0.000000,40.865765,0.604925,40.661811,17.867499,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,41.470690,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,33.978495,5.111342,1.775928,0.000000,0.000000,3.594866,0.000000,37.270898,2,7
